trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-114.66010556823288,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-121.99260994921406,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-1.7199346952561183,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-277.2369652022108,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-114.27593032287149,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-82.68020475080027,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-105.16612828121038,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-51.36536109406002,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-59.972529017563375,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-17.034058048252483,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,2,5.927208734144067,"{0: 29, 1: 2, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-130.02425857752158,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-58.6204433415815,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-19.1413568471934,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,6,9.881708868400212,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,12,13.6876341475669,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,11,-3.660172516713769,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,16,6.9935544770053255,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-69.64265899047929,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-19.700051669676593,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,5,-11.364333065568143,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,4,-16.288756265200156,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,24.826531094946304,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,2,27.343830104968596,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,10,8.545336784708955,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,14,18.628429485820494,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,4,29.66440894358388,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,15,11.505775918744769,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,14,19.791542777287763,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,32.385268193044446,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
