trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-231.95500240550962,"{0: 11, 1: 1, 2: 8, 3: 2, 4: 3}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-129.96486799650256,"{0: 18, 1: 6, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-74.20483726667476,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-142.2656579162967,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-101.92295966267753,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,13,-24.47536072664066,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-120.10071062211073,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-25.03952253478055,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-67.91461451364225,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-72.59297633258929,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-3.35548940638366,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-90.8340080871117,"{0: 17, 1: 4, 2: 9, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,4,-30.346591808372306,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
