trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1.0}",25,4,-64.81537465148664,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 0}",1
2,False,"{'a': 0.05, 'e': 0.25}",25,0,-126.94153966088372,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
3,False,"{'a': 0.05, 'e': 0.1111111111111111}",25,0,-59.423348613679295,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.05, 'e': 0.0625}",20,3,-30.27594836383279,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.05, 'e': 0.04}",30,0,44.448683913958206,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.05, 'e': 0.027777777777777776}",20,0,-75.9986164431548,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.02040816326530612}",30,12,-62.643538617176745,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
8,False,"{'a': 0.05, 'e': 0.015625}",20,4,-25.010397668429,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.05, 'e': 0.012345679012345678}",30,0,-36.55128770788546,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.01}",25,0,-3.7812558997288948,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.05, 'e': 0.008264462809917356}",25,0,30.041449514793516,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.05, 'e': 0.006944444444444444}",25,0,28.747069029518986,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.05, 'e': 0.005917159763313609}",20,0,20.655124351889192,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.00510204081632653}",20,0,4.1145321948072375,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.05, 'e': 0.0044444444444444444}",30,0,-40.75255734702093,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.05, 'e': 0.00390625}",30,13,31.736703542196402,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.0034602076124567475}",30,0,-9.81232213101315,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.05, 'e': 0.0030864197530864196}",20,0,16.4124508227629,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.05, 'e': 0.002770083102493075}",20,0,22.13251730687525,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.05, 'e': 0.0025}",20,0,27.889073630790087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.05, 'e': 0.0022675736961451248}",35,0,21.697289918467504,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.05, 'e': 0.002066115702479339}",20,0,19.730049621090288,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.05, 'e': 0.001890359168241966}",20,6,18.067317202916822,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.05, 'e': 0.001736111111111111}",20,0,25.926296495406074,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.05, 'e': 0.0016}",30,0,37.2383930320268,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.05, 'e': 0.0014792899408284023}",25,0,24.826304129540432,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.05, 'e': 0.0013717421124828531}",25,0,37.85233734937514,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.05, 'e': 0.0012755102040816326}",20,0,24.30106166837727,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.05, 'e': 0.0011890606420927466}",20,0,16.755205870937314,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.05, 'e': 0.0011111111111111111}",25,0,-7.395071005952611,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
31,False,"{'a': 0.05, 'e': 0.001040582726326743}",20,0,20.056758328501207,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.05, 'e': 0.0009765625}",25,10,18.722317372557065,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.05, 'e': 0.0009182736455463728}",25,0,35.718057313669675,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.05, 'e': 0.0008650519031141869}",20,9,16.962364938602818,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.05, 'e': 0.0008163265306122449}",20,0,-10.763954913487966,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
36,False,"{'a': 0.05, 'e': 0.0007716049382716049}",30,0,40.16348334638728,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.05, 'e': 0.0007304601899196494}",20,0,18.788419470893423,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.05, 'e': 0.0006925207756232687}",30,0,26.443463708259177,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.05, 'e': 0.0006574621959237344}",20,0,27.186457326398298,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.05, 'e': 0.000625}",20,0,20.674619654935675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.05, 'e': 0.000594883997620464}",30,0,36.95062210388572,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.05, 'e': 0.0005668934240362812}",20,0,27.530768778242166,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.05, 'e': 0.0005408328826392645}",30,0,33.50829699102303,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.05, 'e': 0.0005165289256198347}",20,0,23.6811367307543,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.05, 'e': 0.0004938271604938272}",20,0,23.36045024049958,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.05, 'e': 0.0004725897920604915}",25,0,20.46680909903557,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.05, 'e': 0.0004526935264825713}",30,0,31.977736520103655,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.05, 'e': 0.00043402777777777775}",20,0,21.88238853197494,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.05, 'e': 0.00041649312786339027}",20,0,19.823273916616394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.05, 'e': 0.0004}",20,5,-21.00579732474624,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.05, 'e': 0.00038446751249519417}",20,0,29.65403838164346,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.05, 'e': 0.0003698224852071006}",25,0,28.986225480471536,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.05, 'e': 0.000355998576005696}",20,0,33.92974074408925,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.05, 'e': 0.0003429355281207133}",25,0,37.399229225751675,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.05, 'e': 0.00033057851239669424}",25,0,26.446884976840778,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.05, 'e': 0.00031887755102040814}",25,9,24.423332187937294,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.05, 'e': 0.0003077870113881194}",20,0,23.265423063820407,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.05, 'e': 0.00029726516052318666}",25,0,27.573591848669356,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.05, 'e': 0.0002872737719046251}",25,0,32.26674827693962,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.05, 'e': 0.0002777777777777778}",20,0,25.938438328419917,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.05, 'e': 0.0002687449610319806}",20,6,22.06978551613005,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.05, 'e': 0.00026014568158168577}",30,6,30.400186013431973,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.05, 'e': 0.0002519526329050139}",25,0,23.90103391033671,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.05, 'e': 0.000244140625}",30,0,36.3060681902993,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.05, 'e': 0.00023668639053254438}",30,0,-46.00083549561365,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
66,False,"{'a': 0.05, 'e': 0.0002295684113865932}",20,0,21.915002318279427,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.05, 'e': 0.00022276676319893073}",20,0,25.212370122388002,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.05, 'e': 0.00021626297577854672}",20,0,6.730762010633619,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
69,False,"{'a': 0.05, 'e': 0.00021003990758244065}",20,0,-18.25958606652409,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.05, 'e': 0.00020408163265306123}",20,11,16.491106778750662,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.05, 'e': 0.00019837333862328903}",25,0,27.605485855475102,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.05, 'e': 0.00019290123456790122}",25,0,-9.791436007870217,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
73,False,"{'a': 0.05, 'e': 0.00018765246762994934}",20,0,27.238132779499942,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.05, 'e': 0.00018261504747991235}",20,4,22.28490279883975,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.05, 'e': 0.00017777777777777779}",20,0,17.992093015621627,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.05, 'e': 0.00017313019390581717}",20,4,20.23538001238958,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.05, 'e': 0.00016866250632484398}",30,24,10.599972826532703,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.05, 'e': 0.0001643655489809336}",20,0,28.5602084798214,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.05, 'e': 0.0001602307322544464}",20,0,27.240940164603305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.05, 'e': 0.00015625}",25,0,29.566698770396385,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.05, 'e': 0.00015241579027587258}",30,0,33.597025193008385,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.05, 'e': 0.000148720999405116}",20,0,27.61570501964605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.05, 'e': 0.00014515894904920887}",20,0,24.14630674125744,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.05, 'e': 0.0001417233560090703}",30,0,38.09990926242316,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.05, 'e': 0.0001384083044982699}",20,0,19.315767744046305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.05, 'e': 0.00013520822065981613}",30,0,36.29246517015526,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.05, 'e': 0.0001321178491214163}",30,12,34.235014516394116,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.05, 'e': 0.00012913223140495868}",30,12,4.127425554320363,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.05, 'e': 0.00012624668602449185}",20,0,-17.008203631806282,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.05, 'e': 0.0001234567901234568}",20,0,22.831067918613314,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.05, 'e': 0.00012075836251660427}",30,0,38.342847445432795,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.05, 'e': 0.00011814744801512288}",20,0,24.02868047703878,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.05, 'e': 0.00011562030292519366}",20,14,9.439403453177704,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.05, 'e': 0.00011317338162064282}",20,0,26.19842704676342,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.05, 'e': 0.00011080332409972299}",25,0,29.627624921391657,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.05, 'e': 0.00010850694444444444}",30,0,36.91655049027291,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.05, 'e': 0.00010628122010840685}",25,0,22.12652232150609,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.05, 'e': 0.00010412328196584757}",20,0,26.83724291074353,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.05, 'e': 0.00010203040506070809}",20,0,25.005807817624323,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.05, 'e': 0.0001}",30,0,34.06732902151464,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.05, 'e': 9.802960494069208e-05}",30,0,36.28422162694983,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,36.089265154078234,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,28.70535646663437,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,26.69945612544434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,18,16.709493616642323,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,26.20940427627403,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,24.18973902478281,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,22.957607749499818,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,20.59696674526661,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,26.23727787785918,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,25.16877583454031,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",20,7,19.013991437717777,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,0,22.757736078847948,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",20,0,24.050017734004754,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
