trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.95}",20,0,-62.68071073208077,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.95, 'e': 0.9025}",35,0,-157.35640070321608,"{0: 20, 1: 5, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 0.95, 'e': 0.8573749999999999}",30,0,-114.96496811310999,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.95, 'e': 0.8145062499999999}",20,0,-118.82999252081203,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.95, 'e': 0.7737809374999998}",20,0,-45.2530752445077,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.95, 'e': 0.7350918906249998}",20,0,-17.566916248022373,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.95, 'e': 0.6983372960937497}",30,3,-54.67789580853455,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.95, 'e': 0.6634204312890623}",20,0,-52.070987728322685,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.95, 'e': 0.6302494097246091}",20,0,-49.553700537420916,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.95, 'e': 0.5987369392383787}",25,0,-119.32113357448682,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.95, 'e': 0.5688000922764597}",25,0,-98.67850215334055,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.95, 'e': 0.5403600876626367}",30,8,-132.43608955953246,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 3}",1
13,False,"{'a': 0.95, 'e': 0.5133420832795048}",20,1,9.46251883007791,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.95, 'e': 0.48767497911552954}",20,0,-103.42995941910623,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.95, 'e': 0.46329123015975304}",20,0,-47.50269294434942,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.95, 'e': 0.44012666865176536}",30,12,-18.64216476350566,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.95, 'e': 0.4181203352191771}",20,0,-43.600193653209516,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.95, 'e': 0.3972143184582182}",25,9,-63.346110754878225,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
19,False,"{'a': 0.95, 'e': 0.37735360253530725}",20,0,-46.6717426236419,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.95, 'e': 0.3584859224085419}",30,8,-37.19909373124142,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.95, 'e': 0.3405616262881148}",30,7,-93.3544139524427,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 2}",1
22,False,"{'a': 0.95, 'e': 0.323533544973709}",20,6,-17.931976385333122,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
23,False,"{'a': 0.95, 'e': 0.3073568677250236}",20,12,-54.10459034447854,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
24,False,"{'a': 0.95, 'e': 0.2919890243387724}",20,8,-44.13622586226877,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.95, 'e': 0.27738957312183377}",20,3,31.35778525141587,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.95, 'e': 0.26352009446574204}",30,0,4.036217063158471,"{0: 27, 1: 2, 2: 0, 3: 1, 4: 0}",0
27,False,"{'a': 0.95, 'e': 0.2503440897424549}",20,3,-4.286638905684807,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
28,False,"{'a': 0.95, 'e': 0.23782688525533216}",20,1,34.40721929832338,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.95, 'e': 0.22593554099256555}",25,13,-46.02290349359242,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
30,False,"{'a': 0.95, 'e': 0.21463876394293727}",20,6,18.41586327843113,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.95, 'e': 0.2039068257457904}",30,17,20.318227459122703,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
