trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.490931277028515,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.89942402978548,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.6071106313957,"{0: 12, 1: 6, 2: 12, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.87081352256774,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.75876303128976,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.92730404433712,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.90607217078562,"{0: 12, 1: 5, 2: 4, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.59977355551038,"{0: 13, 1: 6, 2: 9, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.64204362599182,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.22270048383811,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.11274934308994,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.81912161565288,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.7101683946056,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.7443157132222,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.70193016570775,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.484789782805436,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,1,-7.6887336518474925,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.34501760254734,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.15749871273907,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.28323922716962,"{0: 16, 1: 1, 2: 12, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.16803918735101,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.73983053539571,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.03523762636367,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-81.65697273337211,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-83.69093416753347,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.00595755947086,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,3,-159.9955687306929,"{0: 8, 1: 0, 2: 5, 3: 2, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-196.7779742370804,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-72.92479755026348,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-169.92242610570113,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
